9606.ENSP00000005284 CACNG3
9606.ENSP00000007516 NDUFAB1
9606.ENSP00000176183 DRD4
9606.ENSP00000184266 NDUFB4
9606.ENSP00000215565 NDUFB7
9606.ENSP00000217133 TUBB1
9606.ENSP00000219833 NAT1
9606.ENSP00000222212 CACNG7
9606.ENSP00000226021 CACNG1
9606.ENSP00000233627 NDUFS7
9606.ENSP00000234389 GRIN3B
9606.ENSP00000234961 OPRD1
9606.ENSP00000237889 NDUFB3
9606.ENSP00000246115 S1PR4
9606.ENSP00000247866 NDUFB2
9606.ENSP00000248437 TUBA4A
9606.ENSP00000252102 CD14
9606.ENSP00000252711 NDUFA10
9606.ENSP00000252729 CACNG6
9606.ENSP00000258400 HTR2B
9606.ENSP00000258743 HGF
9606.ENSP00000259037 NDUFB5
9606.ENSP00000259455 GABBR2
9606.ENSP00000259818 TUBB2B
9606.ENSP00000260361 NDUFAF1
9606.ENSP00000261707 HTT
9606.ENSP00000262138 CACNG4
9606.ENSP00000263269 GRIN2D
9606.ENSP00000263774 NDUFS3
9606.ENSP00000264071 TUBB4A
9606.ENSP00000264357 GRIA3
9606.ENSP00000264424 GUCY1B1
9606.ENSP00000264426 GRIA2
9606.ENSP00000265500 NDUFC1
9606.ENSP00000265572 OPRK1
9606.ENSP00000266544 NDUFA9
9606.ENSP00000268668 NDUFB10
9606.ENSP00000270349 SLC6A3
9606.ENSP00000270458 CACNG8
9606.ENSP00000270474 PDE4A
9606.ENSP00000274137 NDUFS6
9606.ENSP00000276062 NDUFB11
9606.ENSP00000276689 NDUFB9
9606.ENSP00000277010 SIGMAR1
9606.ENSP00000280155 ADRA2A
9606.ENSP00000281031 NDUFC2
9606.ENSP00000282499 GRIA4
9606.ENSP00000283254 SCN3A
9606.ENSP00000283256 SCN2A
9606.ENSP00000285900 GRIA1
9606.ENSP00000287820 PPARG
9606.ENSP00000288139 CACNA1D
9606.ENSP00000289753 HTR6
9606.ENSP00000293190 GRIN2C
9606.ENSP00000296518 GUCY1A1
9606.ENSP00000296597 NDUFAF2
9606.ENSP00000296684 NDUFS4
9606.ENSP00000298472 SLC18A2
9606.ENSP00000299166 NDUFB8
9606.ENSP00000300105 CACNG2
9606.ENSP00000301050 CACNB3
9606.ENSP00000301071 TUBA1A
9606.ENSP00000301072 TUBA1C
9606.ENSP00000301457 NDUFA7
9606.ENSP00000303092 CACNG5
9606.ENSP00000303211 ACHE
9606.ENSP00000303325 TACR3
9606.ENSP00000303830 INSR
9606.ENSP00000305416 S1PR1
9606.ENSP00000306129 DRD5
9606.ENSP00000308610 GPD2
9606.ENSP00000314649 ALDH5A1
9606.ENSP00000315774 MIR4691
9606.ENSP00000316244 HTR1A
9606.ENSP00000318197 TUBA3E
9606.ENSP00000318697 TUBB6
9606.ENSP00000320025 CACNB2
9606.ENSP00000322450 NDUFV1
9606.ENSP00000323076 NDUFAF3
9606.ENSP00000324270 OXTR
9606.ENSP00000327268 NDUFV2
9606.ENSP00000327652 DRD1
9606.ENSP00000328472 S1PR5
9606.ENSP00000330737 NDUFA12
9606.ENSP00000330787 NDUFB1
9606.ENSP00000332116 PDE4B
9606.ENSP00000332549 GRIN2A
9606.ENSP00000334198 CACNA1H
9606.ENSP00000336799 TUBA1B
9606.ENSP00000339720 NDUFA4
9606.ENSP00000341289 TUBB4B
9606.ENSP00000342560 HRH3
9606.ENSP00000343925 ESR2
9606.ENSP00000345502 PDE4D
9606.ENSP00000346196 NDUFV3
9606.ENSP00000346534 SCN8A
9606.ENSP00000347689 PDE4C
9606.ENSP00000347988 NDUFA5
9606.ENSP00000349320 CACNA2D1
9606.ENSP00000350878 S1PR3
9606.ENSP00000352011 CACNA1G
9606.ENSP00000352900 RXRG
9606.ENSP00000353731 DPP4
9606.ENSP00000353791 SLC6A9
9606.ENSP00000354665 ND6
9606.ENSP00000354687 ND1
9606.ENSP00000354728 ND4L
9606.ENSP00000354813 ND5
9606.ENSP00000354859 DRD2
9606.ENSP00000354961 ND4
9606.ENSP00000355046 ND2
9606.ENSP00000355155 GRIN3A
9606.ENSP00000355192 CACNA1S
9606.ENSP00000355206 ND3
9606.ENSP00000355316 GRM3
9606.ENSP00000356438 COX2
9606.ENSP00000356545 CACNA1E
9606.ENSP00000356972 NDUFS2
9606.ENSP00000357461 CHRNB2
9606.ENSP00000357470 IL6R
9606.ENSP00000358272 NDUFAF4
9606.ENSP00000358511 CNR1
9606.ENSP00000359285 CHRNA4
9606.ENSP00000360406 CACNA1B
9606.ENSP00000360492 NDUFA1
9606.ENSP00000360608 GRIN1
9606.ENSP00000362058 NDUFS5
9606.ENSP00000362873 NDUFA8
9606.ENSP00000366506 HRH2
9606.ENSP00000367309 MAOB
9606.ENSP00000367959 HTR2A
9606.ENSP00000369176 NDUFB6
9606.ENSP00000369703 TUBB
9606.ENSP00000372169 CACNA2D4
9606.ENSP00000373169 DRD3
9606.ENSP00000377840 CACNB1
9606.ENSP00000378492 GRM2
9606.ENSP00000385019 CACNA1I
9606.ENSP00000386069 ADRA2C
9606.ENSP00000386306 GEFSP7
9606.ENSP00000389160 NDUFA11
9606.ENSP00000390600 SCN10A
9606.ENSP00000392709 NDUFS1
9606.ENSP00000394624 OPRM1
9606.ENSP00000407546 CHRFAM7A
9606.ENSP00000418081 CACNA2D2
9606.ENSP00000418842 NDUFA6
9606.ENSP00000419101 CACNA2D3
9606.ENSP00000423673 NDUFA13
9606.ENSP00000431245 GUCY1A2
9606.ENSP00000438949 CACNB4
9606.ENSP00000466933 S1PR2
9606.ENSP00000386796 SCN7A
