9606.ENSP00000215637 MADCAM1
9606.ENSP00000216223 IL2RB
9606.ENSP00000228534 IL23A
9606.ENSP00000231509 NR3C1
9606.ENSP00000234179 PRKD3
9606.ENSP00000263125 PRKCQ
9606.ENSP00000263431 PRKCG
9606.ENSP00000264220 PPAT
9606.ENSP00000264246 CD80
9606.ENSP00000264818 TYK2
9606.ENSP00000267082 ITGB7
9606.ENSP00000270139 AVP
9606.ENSP00000270474 PDE4A
9606.ENSP00000287820 PPARG
9606.ENSP00000295797 PRKCI
9606.ENSP00000296585 ITGA2
9606.ENSP00000302234 CCL11
9606.ENSP00000303231 IL12A
9606.ENSP00000304915 IL13
9606.ENSP00000305355 PRKCB
9606.ENSP00000305416 S1PR1
9606.ENSP00000306124 PRKCE
9606.ENSP00000319635 CXCR2
9606.ENSP00000329127 PRKCH
9606.ENSP00000331602 PRKCD
9606.ENSP00000332049 CD86
9606.ENSP00000332116 PDE4B
9606.ENSP00000333568 PRKD1
9606.ENSP00000343204 JAK1
9606.ENSP00000343957 IFNAR2
9606.ENSP00000345502 PDE4D
9606.ENSP00000347689 PDE4C
9606.ENSP00000350256 CCR9
9606.ENSP00000354612 COX1
9606.ENSP00000356438 COX2
9606.ENSP00000358511 CNR1
9606.ENSP00000363512 ALOX5
9606.ENSP00000367830 PRKCZ
9606.ENSP00000371067 JAK2
9606.ENSP00000371138 FKBP1A
9606.ENSP00000380227 ITGA4
9606.ENSP00000396308 DHFR
9606.ENSP00000408695 PRKACA
9606.ENSP00000447173 VDR
