string_protein_id	matched_alias	match_type	hippie_gene_id	hippie_entrez_label	hippie_symbol	present_in_hippie
9606.ENSP00000070846	5318	geneid_alias	5318	entrez gene:5318	PKP2	True
9606.ENSP00000180166	26281	geneid_alias	26281	entrez gene:26281	FGF20	True
9606.ENSP00000219794		unmapped				False
9606.ENSP00000245451	652	geneid_alias	652	entrez gene:652	BMP4	True
9606.ENSP00000260818	23317	geneid_alias	23317	entrez gene:23317	DNAJC13	True
9606.ENSP00000261368		unmapped				False
9606.ENSP00000261517		unmapped				False
9606.ENSP00000262861		unmapped				False
9606.ENSP00000264790		unmapped				False
9606.ENSP00000265016	683	geneid_alias	683	entrez gene:683	BST1	True
9606.ENSP00000265594	56922	geneid_alias	56922	entrez gene:56922	MCCC1	True
9606.ENSP00000265922	1620	geneid_alias	1620	entrez gene:1620	BRINP1	True
9606.ENSP00000266087	25793	geneid_alias	25793	entrez gene:25793	FBXO7	True
9606.ENSP00000269844	63977	geneid_alias	63977	entrez gene:63977	PRDM15	True
9606.ENSP00000271915		unmapped				False
9606.ENSP00000273814	1609	geneid_alias	1609	entrez gene:1609	DGKQ	True
9606.ENSP00000285679		unmapped				False
9606.ENSP00000295682	200185	geneid_alias	200185	entrez gene:200185	KRTCAP2	True
9606.ENSP00000296597	91942	geneid_alias	91942	entrez gene:91942	NDUFAF2	True
9606.ENSP00000298910	120892	geneid_alias	120892	entrez gene:120892	LRRK2	True
9606.ENSP00000299138	55737	geneid_alias	55737	entrez gene:55737	VPS35	True
9606.ENSP00000305416	1901	geneid_alias	1901	entrez gene:1901	S1PR1	True
9606.ENSP00000314407	767	geneid_alias	767	entrez gene:767	CA8	True
9606.ENSP00000314499	2580	geneid_alias	2580	entrez gene:2580	GAK	True
9606.ENSP00000314508	2629	geneid_alias	2629	entrez gene:2629	GBA1	True
9606.ENSP00000321805	6014	geneid_alias	6014	entrez gene:6014	RIT2	True
9606.ENSP00000325660		unmapped				False
9606.ENSP00000327214	23400	geneid_alias	23400	entrez gene:23400	ATP13A2	True
9606.ENSP00000333142	8398	geneid_alias	8398	entrez gene:8398	PLA2G6	True
9606.ENSP00000334934	219956	geneid_alias	219956	entrez gene:219956	OR9Q1	False
9606.ENSP00000338020		unmapped				False
9606.ENSP00000338345		unmapped				False
9606.ENSP00000340278	11315	geneid_alias	11315	entrez gene:11315	PARK7	True
9606.ENSP00000341364	29058	geneid_alias	29058	entrez gene:29058	TMEM230	True
9606.ENSP00000342070		unmapped				False
9606.ENSP00000343273	55975	geneid_alias	55975	entrez gene:55975	KLHL7	True
9606.ENSP00000345064	144165	geneid_alias	144165	entrez gene:144165	PRICKLE1	True
9606.ENSP00000346483	65992	geneid_alias	65992	entrez gene:65992	DDRGK1	True
9606.ENSP00000347538	51760	geneid_alias	51760	entrez gene:51760	SYT17	True
9606.ENSP00000348069	6720	geneid_alias	6720	entrez gene:6720	SREBF1	True
9606.ENSP00000348278	27347	geneid_alias	27347	entrez gene:27347	STK39	True
9606.ENSP00000348459	130013	geneid_alias	130013	entrez gene:130013	ACMSD	True
9606.ENSP00000354376	57111	geneid_alias	57111	entrez gene:57111	RAB25	True
9606.ENSP00000354519		unmapped				False
9606.ENSP00000355865	5071	geneid_alias	5071	entrez gene:5071	PRKN	True
9606.ENSP00000358089	7073	geneid_alias	7073	entrez gene:7073	TIAL1	True
9606.ENSP00000365272	1740	geneid_alias	1740	entrez gene:1740	DLG2	True
9606.ENSP00000366618	8340	geneid_alias	8340	entrez gene:8340	H2BC13	True
9606.ENSP00000367316	8516	geneid_alias	8516	entrez gene:8516	ITGA8	True
9606.ENSP00000367756		unmapped				False
9606.ENSP00000369981	6456	geneid_alias	6456	entrez gene:6456	SH3GL2	True
9606.ENSP00000371341	10188	geneid_alias	10188	entrez gene:10188	TNK2	True
9606.ENSP00000378890		unmapped				False
9606.ENSP00000382034		unmapped				False
9606.ENSP00000387170	26058	geneid_alias	26058	entrez gene:26058	GIGYF2	True
