Gene Score Original_Placement
9606.ENSP00000344818 0.005836258284608397 0
9606.ENSP00000301825 0.0021038594846440697 53
9606.ENSP00000360561 0.0021036696502763938 54
9606.ENSP00000360250 0.002101357457364832 55
9606.ENSP00000286063 0.0020814040762902122 58
9606.ENSP00000367615 0.0017547357116987259 96
9606.ENSP00000369456 0.001551066186148692 101
9606.ENSP00000339479 0.0014904573722937377 102
9606.ENSP00000235628 0.0014859676171088756 103
9606.ENSP00000433415 0.001485748008684942 104
9606.ENSP00000242210 0.001485327699330597 105
9606.ENSP00000245552 0.001485204480958709 106
9606.ENSP00000373674 0.001484945039636721 107
9606.ENSP00000257770 0.0014812559892354372 108
9606.ENSP00000218548 0.0014450045464384858 109
