Gene Score Original_Placement
9606.ENSP00000344818 1.9796619579081758 0
9606.ENSP00000301825 0.7400520598789752 56
9606.ENSP00000360561 0.7399749952302384 57
9606.ENSP00000360250 0.7391669248905453 58
9606.ENSP00000367615 0.6206229227525716 77
9606.ENSP00000286063 0.6177375280003107 78
9606.ENSP00000369456 0.5353434283559997 87
9606.ENSP00000339479 0.5275906726949815 92
9606.ENSP00000235628 0.5259801784155794 93
9606.ENSP00000433415 0.5258883000811455 94
9606.ENSP00000242210 0.5257476581980698 97
9606.ENSP00000245552 0.5256929505262296 98
9606.ENSP00000373674 0.5256214928736569 99
9606.ENSP00000257770 0.5242539435630585 100
9606.ENSP00000337853 0.49218435640764324 104
9606.ENSP00000430075 0.48294120135884905 106
9606.ENSP00000379802 0.4828582355456759 107
9606.ENSP00000256578 0.482355978293367 108
9606.ENSP00000298556 0.42852025640571256 113
9606.ENSP00000350941 0.42643352669683304 114
9606.ENSP00000286648 0.42233174509912336 115
9606.ENSP00000286621 0.4196705683346872 116
9606.ENSP00000216194 0.4108026774456895 117
9606.ENSP00000392859 0.40994570159887483 118
9606.ENSP00000259727 0.4099284388466971 119
9606.ENSP00000260600 0.4082983681211989 120
9606.ENSP00000294016 0.4017574450139563 121
9606.ENSP00000254235 0.40140593169296596 122
9606.ENSP00000286355 0.4008873746494688 123
9606.ENSP00000342952 0.4007338537500436 124
9606.ENSP00000419361 0.400642064225838 125
9606.ENSP00000311405 0.40049275962064174 126
9606.ENSP00000312126 0.40042498800019993 127
9606.ENSP00000263967 0.3952289593813775 128
9606.ENSP00000247668 0.3894912846937513 129
9606.ENSP00000215832 0.3885792114018393 130
9606.ENSP00000218548 0.38352695997798053 131
9606.ENSP00000339007 0.3765127268548795 132
9606.ENSP00000365840 0.3741807433557688 133
9606.ENSP00000335246 0.37414859065156153 134
9606.ENSP00000307674 0.3738510265382257 135
9606.ENSP00000351520 0.3737889939433565 136
9606.ENSP00000419851 0.3711026320467037 137
9606.ENSP00000376500 0.3686608330093474 138
9606.ENSP00000265316 0.36705954227720355 139
9606.ENSP00000222388 0.3664975966370122 140
9606.ENSP00000351717 0.3638494997437424 141
9606.ENSP00000344155 0.3632479812456411 142
9606.ENSP00000349396 0.36312618153821885 143
9606.ENSP00000264033 0.35890364736812763 144
